Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-11-15,148.28,149.81,148.25,149.36,1989006.0,0.0,1.0,148.28,149.81,148.25,149.36,1989006.0
2019-11-14,147.45,148.44,147.45,148.11,1735412.0,0.735,1.0,147.45,148.44,147.45,148.11,1735412.0
2019-11-13,147.88,148.51,147.43,148.31,1848402.0,0.0,1.0,147.14976519197822,147.7766542376297,146.70198730222714,147.57764184218482,1848402.0
2019-11-12,148.4,149.04,148.0,148.39,1612552.0,0.0,1.0,147.66719742013504,148.30403708555878,147.26917262924516,147.65724680036277,1612552.0
2019-11-11,148.0,148.615,147.5273,148.22,1473376.0,0.0,1.0,147.26917262924516,147.88113574523834,146.7988068326111,147.4880862642346,1473376.0
2019-11-08,147.47,149.02,147.3301,148.88,1700212.0,0.0,1.0,146.7417897813161,148.2841358460143,146.60258061070238,148.14482716920284,1700212.0
2019-11-07,148.82,149.35,148.45,148.73,2773495.0,0.0,1.0,148.08512345056937,148.6125062984984,147.71695051899624,147.99556787261915,2773495.0
2019-11-06,147.82,148.38,147.13,148.31,3156521.0,0.0,1.0,147.09006147334472,147.64729618059053,146.40346870905972,147.57764184218482,3156521.0
2019-11-05,147.66,148.565,146.7,147.85,4059933.0,0.0,1.0,146.93085155698878,147.83138264637708,145.97559205885315,147.11991333266147,4059933.0
2019-11-04,147.49,147.99,146.4,147.51,4332520.0,0.0,1.0,146.7616910208606,147.25922200947292,145.67707346568577,146.7815922604051,4332520.0
2019-11-01,144.39,146.79,144.3366,146.68,4055565.0,0.0,1.0,143.67699889146425,146.06514763680335,143.62386258188047,145.95569081930867,4055565.0
2019-10-31,143.44,143.84,142.67,143.58,3053893.0,0.0,1.0,142.73169001310086,143.1297148039907,141.96549229063788,142.8709986899123,3053893.0
2019-10-30,142.25,144.27,142.0,143.84,2542560.0,0.0,1.0,141.54756626020355,143.5575914541973,141.2988007658974,143.1297148039907,2542560.0
2019-10-29,142.45,143.51,141.73,142.0,3553976.0,0.0,1.0,141.74657865564848,142.80134435150657,141.03013403204673,141.2988007658974,3553976.0
2019-10-28,143.27,144.625,142.3101,143.04,2374460.0,0.0,1.0,142.56252947697268,143.91083845611203,141.60736948503475,142.333665222211,2374460.0
2019-10-25,143.35,144.2,142.81,142.96,3193275.0,0.0,1.0,142.64213443515064,143.48793711579157,142.10480096744934,142.25406026403306,3193275.0
2019-10-24,140.5,143.84,140.03,143.44,4567124.0,0.0,1.0,139.80620780006043,143.1297148039907,139.33852867076487,142.73169001310086,4567124.0
2019-10-23,140.83,141.44,139.21,139.91,3355583.0,0.0,1.0,140.1345782525446,140.74156605865159,138.5225778494407,139.2191212334979,3355583.0
2019-10-22,140.82,142.24,138.93,141.41,6664196.0,0.0,1.0,140.12462763277233,141.5376156404313,138.2439604958178,140.71171419933486,6664196.0
2019-10-21,138.17,139.0,137.74,138.35,3762576.0,0.0,1.0,137.48771339312705,138.3136148342235,137.05983674292048,137.6668245490275,3762576.0
2019-10-18,138.23,138.44,136.51,136.8,3406746.0,0.0,1.0,137.54741711176052,137.75638012697772,135.83591051093416,136.12447848432933,3406746.0
2019-10-17,137.3,138.74,137.17,138.17,2668179.0,0.0,1.0,136.62200947294164,138.0548987201451,136.49265141590243,137.48771339312705,2668179.0
2019-10-16,135.94,137.22,135.67,136.71,2104438.0,0.0,1.0,135.26872518391613,136.54240451476366,135.00005845006547,136.0349229063791,2104438.0
2019-10-15,136.27,137.72,136.14,136.15,2495696.0,0.0,1.0,135.59709563640027,137.03993550337597,135.46773757936106,135.47768819913333,2495696.0
2019-10-14,136.0,136.45,135.33,135.92,1691281.0,0.0,1.0,135.3284289025496,135.77620679230068,134.66173737780912,135.24882394437162,1691281.0
2019-10-11,135.07,137.19,135.0,136.15,3052427.0,0.0,1.0,134.4030212637307,136.5125526554469,134.33336692532498,135.47768819913333,3052427.0
2019-10-10,131.9,134.06,131.3,133.92,2408867.0,0.0,1.0,131.24867479592865,133.39800866673383,130.65163760959388,133.25869998992238,2408867.0
2019-10-09,131.7,132.64,131.12,131.96,2440528.0,0.0,1.0,131.0496624004837,131.98502065907485,130.47252645369343,131.30837851456212,2440528.0
2019-10-08,131.33,132.39,130.34,130.79,2649046.0,0.0,1.0,130.6814894689106,131.7362551647687,129.69637811145822,130.1441560012093,2649046.0
