id,year,dollars
0,2001,8695.731209
1,2002,6663.889478
2,2003,8421.849911
3,2004,9179.265004
4,2005,9454.736874
5,2006,10742.41827
6,2007,11123.69788
7,2008,6844.472371
8,2009,8452.22111
9,2010,9520.179262
10,2011,9520.027863
11,2012,10785.44758
12,2013,13978.07437
13,2014,15591.35434
14,2015,15478.06731
15,2016,17001.64922
16,2017,20188.48153
17,2018,18857.89365
18,2019,23757.06625
