id,year,dollars
0,2001,9287.039474
1,2002,7730.122612
2,2003,9686.694131
3,2004,9992.759762
4,2005,9931.369213
5,2006,11548.11343
6,2007,12294.48648
7,2008,8136.229278
8,2009,9671.977625
9,2010,10735.3797
10,2011,11328.95173
11,2012,12147.43977
12,2013,15366.25222
13,2014,16526.12718
14,2015,16157.05161
15,2016,18345.10442
16,2017,22818.89331
17,2018,21455.8955
18,2019,26058.37877
